file,coluymn,values
09_generate_nhse_eng_ed.R,protype,"""CARETRUST = Care trust"", ""CCG = Clinical Commission Group"",""FOUNDATION = NHS foundation trust""*, ""IND = Independent sector provider"", ""INDSITE = Independent sector provider site"", ""INDSITETC = Treatment centre at independent sector provider site"", ""OTHERPROV = Other provider organisation"", "" PCT = Primary care trust"", ""TRUST = NHS trust""*, ""TRUSTSITETC = Treatment centre at NHS trust site"""
09_generate_nhse_eng_ed.R,susspellid,Null or random numbers of varying lengths from 13 to 19 digits
09_generate_nhse_eng_ed.R,treat_01,"gives one SNOMED ECDS code. Same logic as invest2, values in 01 (some will be Null though for this) then less and less values in follwing treat_02  _03 etc. columns"
09_generate_nhse_eng_ed.R,treat_02,
09_generate_nhse_eng_ed.R,treat_03,
09_generate_nhse_eng_ed.R,treat_04,
09_generate_nhse_eng_ed.R,treat_05,
09_generate_nhse_eng_ed.R,treat_06,
09_generate_nhse_eng_ed.R,treat_07,
09_generate_nhse_eng_ed.R,treat_08,
09_generate_nhse_eng_ed.R,treat_09,
09_generate_nhse_eng_ed.R,treat_10,
09_generate_nhse_eng_ed.R,treat_11,
09_generate_nhse_eng_ed.R,treat_12,
09_generate_nhse_eng_ed.R,trettime,"4 digit number detailing military time (can be set randomly to any time e.g ""1819"")"
10_generate_nhse_eng_primcare_meds.R,chargestatus,"""- = Unknown"", ""C = Chargeable at Current Rate"", ""E = Exempt""*, ""O = Chargeable at Previous Rate"", ""U = Unknown"""
10_generate_nhse_eng_primcare_meds.R,costcentresubtype,"""- = Does not apply"", ""01 = Walk-in-Centre"", ""02 = Out-of-hours service"", ""03 = Walk-in-Centre and Out-of-hours service"", ""04 = GP Practice""*, ""05 = Health & Justice"", ""06 = Private Controlled Drug practice"", ""07 = Other"", ""08 = Public health service"", ""09 = Community health service"", "" 10 = Hospital service"", ""11 = Optometry service"" , ""12 = Urgent & emergency care"", ""13 = Hospice"", ""14 = Care home/nursing home"", ""15 = PCN"""
10_generate_nhse_eng_primcare_meds.R,costcentretype,"""15 = GENERAL PRACTITIONER"", ""16 = DENTAL PRACTITIONER"", ""18 = HOSPITAL DOCTOR"", ""22 = SCOTTISH LEAKED DATA BATCHES"", ""23 = WELSH LEAKED DATA BATCHES"", ""33 =NURSE"", ""34 = COMMUNITY NURSE PRESCRIBING CONTRACT"", ""48 = ADDITIONAL PRESCRIBER"", ""5 = HOSPITAL"", ""51 = PRIVATE DOCTOR"", ""52 = PRIVATE NURSE"", ""53 = PRIVATE ADDITIONAL PRESCRIBER"", ""54 = PRIVATE GROUP"", ""7  = GP PRACTICE / COST CENTRE""*, ""8 = CONTRACTOR"", ""9 = DENTIST PRACTICE"""
10_generate_nhse_eng_primcare_meds.R,dispensedpharmacytype,"15 = GENERAL PRACTITIONER, ""16 = DENTAL PRACTITIONER"", ""18 = HOSPITAL DOCTOR"", ""22 = SCOTTISH LEAKED DATA BATCHES"", ""23 = WELSH LEAKED DATA BATCHES"", ""33 =NURSE"", ""34 = COMMUNITY NURSE PRESCRIBING CONTRACT"", ""48 = ADDITIONAL PRESCRIBER"", ""5 = HOSPITAL"", ""51 = PRIVATE DOCTOR"", ""52 = PRIVATE NURSE"", ""53 = PRIVATE ADDITIONAL PRESCRIBER"", ""54 = PRIVATE GROUP"", ""7  = GP PRACTICE / COST CENTRE"", ""8 = CONTRACTOR""*, ""9 = DENTIST PRACTICE"""
10_generate_nhse_eng_primcare_meds.R,costcentreodscode_ofh,6 digit random number that repeats per pid
10_generate_nhse_eng_primcare_meds.R,itemactualcost,"number between 0 to 1 million (mean is 800, outliers past 30000)"
10_generate_nhse_eng_primcare_meds.R,itemid,integer number 1 to 5
10_generate_nhse_eng_primcare_meds.R,itemnic,integer number 5 to 51846
10_generate_nhse_eng_primcare_meds.R,maternityexemptionflag,"""0 = no"", ""1 = yes"""
10_generate_nhse_eng_primcare_meds.R,outofhoursindicator,0 to 1 mean is 0
10_generate_nhse_eng_primcare_meds.R,paidflavourindicator,"""- = UNKNOWN""*,  ""0057 = Tutti frutti"", ""0070 = Peppermint"", ""0002 = Aniseed"", ""0040 = Orange"", ""0030 = Lemon"", ""0047 = Plain"", ""0031 = Lemon & lime"""
10_generate_nhse_eng_primcare_meds.R,paiddisallowedindicator,"""N = no""*, ""Y = yes"" [100% no]"
10_generate_nhse_eng_primcare_meds.R,paidformulation,"""0069 = Tablet""*, ""0282 = Oral tablet""*, ""0020 = Gastra-resistant capsule""*, ""0004 = Capsule"", ""0061 = Pressurised inhalation"", ""0042 = Modified-release tablet"", ""0204 = Oral capsule"""
10_generate_nhse_eng_primcare_meds.R,paidindicator,"""N = no"", ""Y = yes""* [100% yes]"
10_generate_nhse_eng_primcare_meds.R,paiddmdcode,"""1271511000001104 = Atorvastatin 20mg tablets 28 tablet (product)"", ""1068411000001105 = Omeprazole 20mg gastro resistant capsules 28 capsule (product)"" [fill with a few more examples in this format focusing on CVD drugs]"
10_generate_nhse_eng_primcare_meds.R,paidsuppliername,"""Generic Supplier"", ""Chiesi Ltf"", "" 3M Health Care Ltd"", ""A A H Pharmaceuticals Ltd"", ""Abbot Laboratories Ltd"", ""Essential Healthcare Ltd"", "
10_generate_nhse_eng_primcare_meds.R,prescribedbnfcode,"long bnf codes like ""0602010V0AABWBW"""
10_generate_nhse_eng_primcare_meds.R,prescribednfname,same as already made PaidBNFName column
10_generate_nhse_eng_primcare_meds.R,prescribedformulation,"""0069 = Tablet""*, ""0282 = Oral tablet""*, ""0020 = Gastra-resistant capsule""*, ""0004 = Capsule"", ""0061 = Pressurised inhalation"", ""0042 = Modified-release tablet"", ""0204 = Oral capsule"""
